TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN16025	Litsea coreana	Plantae	Magnoliopsida	Laurales	Litsea	coreana	H. Lév.	Lauraceae	Repertorium Specierum Novarum Regni Vegetabilis 10(257-259): 370. 1912.			this name is accepted		
SN18017	Litsea crassifolia	Plantae	Magnoliopsida	Laurales	Litsea	crassifolia	(Blume) Boerl.	Lauraceae	Handleiding tot de Kennis der Flora van Nederlandsch Indië 3: 143. 1900.	"Tetranthera crassifolia Blume; Museum Botanicum 1: 386. 1851."		this name is accepted		Tetranthera crassifolia Blume
SN17938	Litsea cubeba	Plantae	Magnoliopsida	Laurales	Litsea	cubeba	(Lour.) Pers.	Lauraceae	Synopsis Plantarum 2: 4. 1807.	"Laurus cubeba Lour.; Flora Cochinchinensis 1: 252-253. 1790."		this name is accepted		Laurus cubeba Lour.
SN7300	Litsea domarensis	Plantae	Magnoliopsida	Laurales	Litsea	domarensis	O. Schmidt	Lauraceae	Journal of the Arnold Arboretum 10: 215. 1929.			this name is accepted		
SN7301	Litsea elongata	Plantae	Magnoliopsida	Laurales	Litsea	elongata	(Nees) Benth. & Hook. f.	Lauraceae	Genera Plantarum 3: 163, in nota sub Lindera. 1880.	"Daphnidium elongatum Nees; Plantae Asiaticae Rariores 2: 63. 1831. "		this name is accepted		Daphnidium elongatum Nees
SN7302	Litsea ferruginea	Plantae	Magnoliopsida	Laurales	Litsea	ferruginea	Blume	Lauraceae	Bijdragen tot de flora van Nederlandsch Indië 11: 561. 1825.			this name is accepted		
SN7303	Litsea glutinosa	Plantae	Magnoliopsida	Laurales	Litsea	glutinosa	(Lour.) C.B. Rob.	Lauraceae	Philippine Journal of Science 6(5): 321. 1911.	"Sebifera glutinosa Lour.; Flora Cochinchinensis 2: 638. 1790. "		this name is accepted		Sebifera glutinosa Lour. 
SN7304	Litsea greenmaniana	Plantae	Magnoliopsida	Laurales	Litsea	greenmaniana	C.K. Allen	Lauraceae	Annals of the Missouri Botanical Garden 25: 394. 1937.	    		this name is accepted		
SN7305	Litsea insignis	Plantae	Magnoliopsida	Laurales	Litsea	insignis	(Blume) Boerl.	Lauraceae	Handleiding tot de Kennis der Flora van Nederlandsch Indië 3: 142. 1900.	"Tetranthera insignis Blume; Museum Botanicum 1: 382. 1851. "		this name is accepted		
SN7306	Litsea irianensis	Plantae	Magnoliopsida	Laurales	Litsea	irianensis	Kosterm.	Lauraceae	Bibliogr. Laurac. 833. 1964. 	    		this name is accepted		
SN7307	Litsea japonica	Plantae	Magnoliopsida	Laurales	Litsea	japonica	(Thunb.) Jussieu	Lauraceae	Bulletin de la Societe Philomatique de Paris 3: 73. 1801.	"Tomex japonica Thunb.; Nova Genera Plantarum 3: 65. 1783. "		this name is accepted		
SN16783	Litsea lancifolia	Plantae	Magnoliopsida	Laurales	Litsea	lancifolia	(Roxb. ex Nees) Benth. & Hook. f. ex Villar 	Lauraceae	Flora de Filipinas ... 4: 181. 1880.	"Tetranthera lancifolia Roxb. ex Nees; Plantae Asiaticae Rariores 2: 65. 1831."		this name is accepted		Tetranthera lancifolia Roxb. ex Nees
SN7308	Litsea lancilimba	Plantae	Magnoliopsida	Laurales	Litsea	lancilimba	Merr.	Lauraceae	Philippine Journal of Science 23(3): 244. 1923.	    		this name is accepted		
SN15032	Litsea leefeana	Plantae	Magnoliopsida	Laurales	Litsea	leefeana	(F. Muell.) Merr.	Lauraceae	Philippine Journal of Science 14: 242. 1919.	"Cylicodaphne leefeana F. Muell.; Fragmenta Phytographiae Australiae 5: 169. 1866. "		Litsea australis B.Hyland	SN17946	Cylicodaphne leefeana F. Muell. 
SN7309	Litsea leytensis	Plantae	Magnoliopsida	Laurales	Litsea	leytensis	Merr.	Lauraceae	Philippine Journal of Science 10: 272. 1915.			this name is accepted		Litsea obtusata (Meissn.) Fern.-Vill
SN7310	Litsea machilifolia	Plantae	Magnoliopsida	Laurales	Litsea	machilifolia	Gamble	Lauraceae	Kew Bulletin 320. 1910.			this name is accepted		Litsea teysmannii Gamble
SN7311	Litsea monopetala	Plantae	Magnoliopsida	Laurales	Litsea	monopetala	(Roxb. ex Baker) Pers.	Lauraceae	Syn. Pl. 2: 4. 1807. 	"Tetranthera monopetala Roxb. ex Baker; Plants of the Coast of Coromandel 2: 26, t. 148. 1798."		this name is accepted		"Litsea polyantha Juss.;Tetranthera monopetala Roxb. ex Baker"
SN7312	Litsea ochracea	Plantae	Magnoliopsida	Laurales	Litsea	ochracea	Boerl.	Lauraceae	Handleiding tot de Kennis der Flora van Nederlandsch Indië 3: 144. .	    		this name is accepted		Cylicodaphne ochracea Blume
SN7313	Litsea odorifera	Plantae	Magnoliopsida	Laurales	Litsea	odorifera	Valeton	Lauraceae	Icones Bogorienses 3: t. 276. 1909.			this name is accepted		
SN7314	Litsea palustris	Plantae	Magnoliopsida	Laurales	Litsea	palustris	Kosterm.	Lauraceae	Reinwardtia 6: 157. 1962.			Litsea crassifolia (Blume) Boerl.	SN18017	
SN7315	Litsea perrottetii	Plantae	Magnoliopsida	Laurales	Litsea	perrottetii	(Blume) Fern.- Vill.	Lauraceae	Fl. Filip. ed. 3 Nov. App. 180. 1880. 	"Tetranthera perrottetii Blume; Museum Botanicum 1: 384. 1851."		this name is accepted		
SN7316	Litsea polyantha	Plantae	Magnoliopsida	Laurales	Litsea	polyantha	Juss.	Lauraceae	Annales du muséum national d'histoire naturelle 6: 211. 1805.	    		Litsea monopetala (Roxb.) Pers. 	SN7311	
SN7317	Litsea reticulata	Plantae	Magnoliopsida	Laurales	Litsea	reticulata	(Meisn.) Benth. & Hook. f. ex F. Muell.	Lauraceae	Systematic census of Australian plants ... 4. 1882.	"Tetranthera reticulata Meisn.; Prodromus Systematis Naturalis Regni Vegetabilis 15(1): 192. 1864. "				
SN17945	Litsea rotundifolia	Plantae	Magnoliopsida	Laurales	Litsea	rotundifolia	Hemsl. 	Lauraceae	Journal of the Linnean Society, Botany 26(176): 385. 1891.			this name is accepted		
