UnitID	additionalID	Property1	PropertyValue1	FullScientificName	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Country	exact_site	CollectionStartDay	CollectedBy	Property5	PropertyValue5	Property6	PropertyValue6																																											
RMCA_042	1414	Taxonomic Family (APD)	AGAVAC	Agave americana L.	Vernacular name	Century plant	Vernacular name (English)	"Agave; American agave; American aloe, Maguey Americano"	Vernacular name (French)	Agave américain; agave d'Amérique; choca; faux aloès; pite	R.D. Congo	Eala	1925	Goossens+P1	Region (plant)	"Mexico, US: Texas (Native)"	Ecology (plant)	"Forest, Shrubland"																																											
RMCA_039	4449	Taxonomic Family (APD)	AGAVAC	Agave cantala (Haw.) Roxb. ex Salm-Dyck	Vernacular name	Bombay hemp	Vernacular name (English)	"Bombay aloe, cantala, Cantala fibre, Cebu maguey, manila maguey"	Vernacular name (French)		Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_068	4449	Taxonomic Family (APD)	AGAVAC	Agave cantala (Haw.) Roxb. ex Salm-Dyck	Vernacular name	Bombay hemp	Vernacular name (English)	"Bombay aloe, cantala, Cantala fibre, Cebu maguey, manila maguey"	Vernacular name (French)		Unknown	Station de Gimbi Mutadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_098	4449	Taxonomic Family (APD)	AGAVAC	Agave cantala (Haw.) Roxb. ex Salm-Dyck	Vernacular name	Bombay hemp	Vernacular name (English)	"Bombay aloe, cantala, Cantala fibre, Cebu maguey, manila maguey"	Vernacular name (French)		Unknown	Station de Gimbi Mutadi	1951	Unknown	Region (plant)		Ecology (plant)																																												
RMCA_032	534	Taxonomic Family (APD)	AGAVAC	Agave sisalana Perrine	Vernacular name	Sisal hemp	Vernacular name (English)	Agave; century plant; hemp (sisal); sisal; sisal agave	Vernacular name (French)	"Sisal, langue de bœuf, pite sisal"	R.D. Congo	Kalamu	1910	Dept. Argiculture	Region (plant)	"Mexico (Native) ; Introduced in tropical and subtropical areas in North America, South America, Caribbean Islands, Australia, Asia, Africa (Botswana, Cabo Verde Ethiopia, Gabon, Kenya, Libya, Madagascar, Malawi, Mauritius, Rwanda, South Africa, Tanzania, Uganda, Zambia Zimbabwe"	Ecology (plant)	"deserts, dry forests, grasslands, roadsides, disturbed and secondary forests, caatinga, coastal beaches, coastal dunes, and plantations"																																											
RMCA_033	4447	Taxonomic Family (APD)	AGAVAC	Agave sisalana Perrine	Vernacular name	Sisal hemp	Vernacular name (English)	Agave; century plant; hemp (sisal); sisal; sisal agave	Vernacular name (French)	"Sisal, langue de bœuf, pite sisal"	Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)	"Mexico (Native) ; Introduced in tropical and subtropical areas in North America, South America, Caribbean Islands, Australia, Asia, Africa (Botswana, Cabo Verde Ethiopia, Gabon, Kenya, Libya, Madagascar, Malawi, Mauritius, Rwanda, South Africa, Tanzania, Uganda, Zambia Zimbabwe"	Ecology (plant)	"deserts, dry forests, grasslands, roadsides, disturbed and secondary forests, caatinga, coastal beaches, coastal dunes, and plantations"																																											
RMCA_041	1401	Taxonomic Family (APD)	AGAVAC	Agave tequilana F.A.C.Weber	Vernacular name	Blue Agave	Vernacular name (English)	"Blue agave (agave azul), tequila agave"	Vernacular name (French)		R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_111	1765	Taxonomic Family (APD)	AGAVAC	Agave tequilana F.A.C.Weber	Vernacular name	Blue Agave	Vernacular name (English)	"Blue agave (agave azul), tequila agave"	Vernacular name (French)		R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_040	1405	Taxonomic Family (APD)	AGAVAC	Agave vera-cruz Mill. (syn. A. mexicana Lam.)	Vernacular name	Blue aloe	Vernacular name (English)	Blue aloe	Vernacular name (French)		R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_029	4454	Taxonomic Family (APD)	AGAVAC	Agave vivipara L.	Vernacular name	Caribbean agave	Vernacular name (English)	Caribbean agave	Vernacular name (French)		Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)	"Mexico, Central America, Caribbean coast of south America (Native) ; Introduced in Africa (Kenya, Mauritius, Réunion, Rwanda, South Africa, Tanzania"	Ecology (plant)	"Along roadsides, in dry forests, disturbed sites, secondary forests, thorny shrublands, coastal forests, coastal sand dunes and sea cliffs"																																											
