domain	kingdom	phylum	class	order	family	genus	species	sub_species	FullScientificName
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Marsupialia Illiger, 1811"	Herpetotheriidae 	Peratherium 	constans 	 	Peratherium constans
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Condylarthra Cope, 1881"	Hyopsodontidae 	Paschaterium 	dolloi 	 	Paschaterium dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
Eucaryota	Animalia	" Chordata Haeckel, 1874"	"Mammalia Linnaeus, 1758"	"Lipotyphla Haeckel, 1866"	Adapisoricidae 	Adapisorex 	dolloi 	 	Adapisorex dolloi
