sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
IRSNB M 0003	Europe	Belgium						Flemish Brabant Province, Dormaal°'													1453								BE		"14°27'38""S"	"27°12'28"" W"														Tienen Formation																				
IRSNB M 0128	Europe	Belgium						Hainaut Province, Erquelinnes, Jeumont,  Pl. XXXIII, pt 1°'																					BE		-7,13	45,752														Tienen Formation																				
IRSNB M 0131a-c	Europe	Belgium						Antwerp Province, Lierre, deviation of the Nethe River°'																					BE																																					
IRSNB M 0133	Europe	Belgium						Leval, Mons Basin, Hainaut Province°'																					BE																																					
IRSNB M 0136a-a³	Europe	Belgium						Antwerp Province, Boom, In den Hoek°'																					BE																	sables d'Edeghem																				
IRSNB M 0137a-b	Europe	Belgium						East Flanders Province, Steendorp°'																					BE																																					
IRSNB M 0138a-e	Europe	Belgium						East Flanders Province, Steendorp°'																					BE																	argile de Boom																				
IRSNB M 0141a-b	Europe	Belgium						Antwerp Province, Boom°'																					BE																	argile de Boom																				
IRSNB M 0142a-b	Europe	Belgium						Belgium, Province d'Anvers, Steendorp, near Boom°'																					BE																	profondeur dans l'argile de Boom: 3m																				
IRSNB M 0144a-c	Europe	Belgium						Antwerp Province, Noeveren°'																					BE																	argile de Boom																				
IRSNB M 0147a-b	Europe	Belgium						Antwerp Province, Niel°'																					BE																	argile de Boom																				
IRSNB M 0149	Europe	Belgium						Antwerp Province, Terhaegen°'																					BE																	argile de Boom																				
IRSNB M 0150a-c	Europe	Belgium						East Flanders Province, St-Nicolas (Waes)°'																					BE																	argile de Boom																				
IRSNB M 0151a-d	Europe	Belgium						Antwerp Province, Hemixem°'																					BE																	argile de Boom																				
IRSNB M 0152	Europe	Belgium						Unknown°'																					BE																	argile de Boom																				
IRSNB M 0153a-c	Europe	The Netherlands						Limburg Province, Elsloo°'																																																										
