Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	ParasiteSpecies	ParasiteIdentifier	HostSpecies	HostIdentifier	UnitID	additionalID	collection_imported	accessionNumber	label_created_by	media_files	Notes	acquisitionType 	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	sampling_code	building	floor	room	row	column	shelf	specimen_status	KindOfUnit 	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	FullScientificName	secondary	collectedBy	samplingMethod	expedition_project	collectionStartDay	collectionStartMonth	collectionStartYear	collectionStartTimeH	collectionStartTimeM	collectionEndDay	collectionEndMonth	collectionEndYear	collectionEndTimeH	collectionEndTimeM	property_type_1	property_lower_value_1	property_upper_value_1	property_is_quantitative_1	property_unit_1	associationDomain	associationType	associatedUnitID		property_type_2	property_lower_value_2	property_upper_value_1	property_unit_2
					Cotype						IRSNB M 0003			8793																	IRSNB M 0003								R m/4														Peratherium constans	part-A				14	2	1973								Weight	452	700	TRUE	g	darwin_full_code	DNA voucher	BE_RMCA_INS.Dip.3		size	56	58	cm
					Cotype						IRSNB M 0004			8685																	IRSNB M 0003error								left maxillary fragment (P3/)														Paschaterium dolloi	part-A																										
					Cotype						IRSNB M 0005			8664																	IRSNB M 0003								molar or P4/														Adapisorex dolloi	part-A																										
					Cotype						IRSNB M 0006			8664																	IRSNB M 0003								molar or P4/														Adapisorex dolloi	part-A																										
					Cotype						IRSNB M 0007			8664																	IRSNB M 0003								molar or P4/														Adapisorex dolloi	part-A																										
					Cotype						IRSNB M 0008			8664																	IRSNB M 0003								molar or P4/														Adapisorex dolloi	part-A																										
					Cotype						IRSNB M 0009			8664																	IRSNB M 0003								fragment of left tooth with P/1, P/2, P/3 and root of P/4 but on 03/08/2010 P/3 is missing.														Paschaterium dolloi	part-A																										
					Cotype						IRSNB M 0010			8664																	IRSNB M 0003								fragmentary dental (M/3)														Paschaterium dolloi	part-A																										
					Cotype						IRSNB M 0011			8818																	IRSNB M 0003								fragment de dentaire														Adapisorex dolloi	part-A																										
					Cotype						IRSNB M 0012			8818																	IRSNB M 0003								upper right molar														Paschaterium dolloi	part-A																										
					Cotype						IRSNB M 0013			8818																	IRSNB M 0003								upper right molar														Adapisorex dolloi	part-A																										
