"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"FullScientificName"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Parvoculus"	"myrmecophilus"	""	"Moczar, 1970"	"Parvoculus myrmecophilus  Moczar, 1970"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"africanus"	""	"Moczar, 1970"	"Sulcomesitius africanus  Moczar, 1970"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"alluaudi"	""	"Kieffer"	"Sulcomesitius alluaudi  Kieffer"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"illaevigatus"	""	"(Benoit, 1968)"	"Sulcomesitius illaevigatus  (Benoit, 1968)"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"madagascarensis"	""	"Moczar"	"Sulcomesitius madagascarensis  Moczar"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"okahandjaensis"	""	"Moczar, 1977"	"Sulcomesitius okahandjaensis  Moczar, 1977"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"pondo"	""	"(Benoit, 1968)"	"Sulcomesitius pondo  (Benoit, 1968)"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"saintjohni"	""	"Moczar, 1977"	"Sulcomesitius saintjohni  Moczar, 1977"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"schoutedeni"	""	"(Benoit, 1950)"	"Sulcomesitius schoutedeni  (Benoit, 1950)"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"alluaudi"	""	"Kieffer, 1905"	"Epyris alluaudi  Kieffer, 1905"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"congolensis"	""	"Benoit, 1957"	"Epyris congolensis  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"ebneri"	""	"Kieffer, 1921"	"Epyris ebneri  Kieffer, 1921"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"fallax"	""	"Benoit, 1957"	"Epyris fallax  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"geniculatus"	""	"Kieffer, 1904"	"Epyris geniculatus  Kieffer, 1904"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"lippensi"	""	"Benoit, 1957"	"Epyris lippensi  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"perversus"	""	"Benoit, 1957"	"Epyris perversus  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"wittei"	""	"Benoit, 1957"	"Epyris wittei  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Trichiscus"	"wittei"	""	"Benoit, 1956"	"Trichiscus wittei  Benoit, 1956"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Trichiscus"	"suzannae"	""	"Benoit, 1956"	"Trichiscus suzannae  Benoit, 1956"
