"UnitID"	"additionalID"	"collection"	"label_created_by"	"Notes"	"samplingcode"	"continent"	"country"	"Province"	"Municipality"	"exact_site"	"LatitudeDMSDegrees"	"LatitudeDMSMinutes"	"LatitudeDMSSeconds"	"LatitudeDMS_N_S"	"LongitudeDMSDegrees"	"LongitudeDMSMinutes"	"LongitudeDMSSeconds"	"LongitudeDMS_W_E"	"LatitudeDecimal"	"LongitudeDecimal"	"coordinates_original"	"Sampling_PeriodOfDay"	"elevationinmeters"	"CollectedBy"	"samplingMethod"	"expedition_project"	"CollectionStartDay"	"CollectionStartMonth"	"CollectionStartYear"	"CollectionEndDay"	"CollectionEndMonth"	"CollectionEndYear"	"localityNotes"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"IdentificationHistory1Notion"	"IdentificationHistory1Value"	"IdentificationHistory1Status"	"FullScientificName"	"Taxon_Notes"	"IdentifiedBy"	"IdentificationDay"	"IdentificationMonth"	"IdentificationYear"	"TypeStatus"	"Identification_Notes"	"DNA_Tag"	"DNA_box"	"DNA_tube"	"DNA_HPos"	"DNA_VPos"	"DNA_Notes"	"ecology_Water_temperature"	"Sampling_Hour"	"ecology_PH"	"ecology_mV"	"ecology_Conductivity"	"ecology_O2_Perc"	"ecology_O2_mg"	"ecology_hPa"	"ecology_Air_Temperature"	"ecology_Relative_Humidity"	"Ecology"	"acquisition_category"	"acquiredFrom"	"acquisitionDay"	"acquisitionMonth"	"acquisitionYear"	"Acquisition_Notes"	"sex"	"lifeStage"	"associationType"	"associatedUnitID"	"maleCount"	"femaleCount"	"juvenileCount"	"totalNumber"	"notes_Counts"	"institution"	"building"	"floor"	"room"	"row"	"column"	"shelf"	"specimen_status"	"specimen_part"	"ContainerName"	"ContainerType"	"ContainerStorage"	"SubcontainerName"	"SubcontainerType"	"SubcontainerStorage"	"StorageNotes"	"associationDomain"
"41900"	"RMCA_ENT_000041900"	""	""	""	"BE_RMCA_INS.Col.041900"	"Africa"	"Namibia"	"Damaraland"	""	"Damaraland"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Kerremans"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41901"	"RMCA_ENT_000041901"	""	""	""	"BE_RMCA_INS.Col.041901"	"Africa"	"Congo, Democratic Republic of the"	"Katanga"	"Elisabethville"	"Elisabethville"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mission agricole"	""	"10"	"1911"	""	"10"	"1911"	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41902"	"RMCA_ENT_000041902"	""	""	""	"BE_RMCA_INS.Col.041902"	"Africa"	"Congo, Democratic Republic of the"	"Katanga"	"Elisabethville"	"Elisabethville"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mission agricole"	""	"10"	"1911"	""	"10"	"1911"	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41903"	"RMCA_ENT_000041903"	""	""	""	"BE_RMCA_INS.Col.041903"	"Africa"	"Mozambique"	""	"Maputo"	"Maputo"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Breuning"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41904"	"RMCA_ENT_000041904"	""	""	""	"BE_RMCA_INS.Col.041904"	"Africa"	"Mozambique"	""	"Maputo"	"Maputo"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Breuning"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41905"	"RMCA_ENT_000041905"	""	""	""	"BE_RMCA_INS.Col.041905"	"Africa"	"Mozambique"	""	"Maputo"	"Maputo"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Breuning"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41906"	"RMCA_ENT_000041906"	""	""	""	"BE_RMCA_INS.Col.041906"	"Africa"	"South Africa"	"Transvaal"	""	"Kruger Park"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Breuning"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41907"	"RMCA_ENT_000041907"	""	""	""	"BE_RMCA_INS.Col.041907"	"Africa"	"South Africa"	"Natal"	""	"Natal"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Théry"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41908"	"RMCA_ENT_000041908"	""	""	""	"BE_RMCA_INS.Col.041908"	"Africa"	"Namibia"	"Damaraland"	""	"Damaraland"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Kerremans"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
"41909"	"RMCA_ENT_000041909"	""	""	""	"BE_RMCA_INS.Col.041909"	"Africa"	"South Africa"	""	""	"South Africa"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Kerremans"	""	""	""	""	""	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Buprestidae"	"Anthaxia"	"tenuicola"	""	"Boheman, 1914"	"Taxon."	"Anthaxia tenuicola  Boheman, 1914"	""	"Anthaxia tenuicola  Boheman, 1914"	""	""	""	""	""	"Specimen"	"Anthaxia (Haplanthaxia)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"1"	""	""	""	""	"Dry, good state"	""	"274"	"Cabinet"	""	"143"	"Box"	""	""	"darwin_uuid"
