"UnitID"	"additionalID"	"collection"	"label_created_by"	"Notes"	"samplingcode"	"continent"	"country"	"Province"	"Municipality"	"exact_site"	"LatitudeDMSDegrees"	"LatitudeDMSMinutes"	"LatitudeDMSSeconds"	"LatitudeDMS_N_S"	"LongitudeDMSDegrees"	"LongitudeDMSMinutes"	"LongitudeDMSSeconds"	"LongitudeDMS_W_E"	"LatitudeDecimal"	"LongitudeDecimal"	"coordinates_original"	"Sampling_PeriodOfDay"	"elevationinmeters"	"CollectedBy"	"samplingMethod"	"expedition_project"	"CollectionStartDay"	"CollectionStartMonth"	"CollectionStartYear"	"CollectionEndDay"	"CollectionEndMonth"	"CollectionEndYear"	"localityNotes"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"IdentificationHistory1Notion"	"IdentificationHistory1Value"	"IdentificationHistory1Status"	"FullScientificName"	"Taxon_Notes"	"IdentifiedBy"	"IdentificationDay"	"IdentificationMonth"	"IdentificationYear"	"TypeStatus"	"Identification_Notes"	"DNA_Tag"	"DNA_box"	"DNA_tube"	"DNA_HPos"	"DNA_VPos"	"DNA_Notes"	"ecology_Water_temperature"	"Sampling_Hour"	"ecology_PH"	"ecology_mV"	"ecology_Conductivity"	"ecology_O2_Perc"	"ecology_O2_mg"	"ecology_hPa"	"ecology_Air_Temperature"	"ecology_Relative_Humidity"	"Ecology"	"acquisition_category"	"acquiredFrom"	"acquisitionDay"	"acquisitionMonth"	"acquisitionYear"	"Acquisition_Notes"	"sex"	"lifeStage"	"associationType"	"associatedUnitID"	"maleCount"	"femaleCount"	"juvenileCount"	"totalNumber"	"notes_Counts"	"institution"	"building"	"floor"	"room"	"row"	"column"	"shelf"	"specimen_status"	"specimen_part"	"ContainerName"	"ContainerType"	"ContainerStorage"	"SubcontainerName"	"SubcontainerType"	"SubcontainerStorage"	"StorageNotes"	"associationDomain"
"BE_RMCA_INS.Hym.044663"	"RMCA_ENT_000044663"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044663"	"Africa"	"Rwanda"	""	""	"Contrefort Est Muhavura"	""	""	""	""	""	""	""	""	""	""	""	""	"2100"	"Basilewsky P."	""	""	"28"	"01"	"1953"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044664"	"RMCA_ENT_000044664"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044664"	"Africa"	"Congo, Democratic Republic of the"	""	"Ruanda"	"Lac Ngando (Volc. Karisimbi)"	""	""	""	""	""	""	""	""	""	""	""	""	"2400"	"G. F. de Witte"	""	""	"09"	"03"	"1935"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044665"	"RMCA_ENT_000044665"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044665"	"Africa"	"Congo, Democratic Republic of the"	""	"Ruanda"	"Volc. Bishoke"	""	""	""	""	""	""	""	""	""	""	""	""	"2800"	"G. F. de Witte"	""	""	"13"	"02"	"1935"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044666"	"RMCA_ENT_000044666"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044666"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	""	"vers Rweru (Volc. Mikano)"	""	""	""	""	""	""	""	""	""	""	""	""	"2400"	"G. F. de Witte"	""	""	"26"	"07"	"1934"	""	""	""	"bambous"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044667"	"RMCA_ENT_000044667"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044667"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	""	"vers Rweru (Volc. Mikano)"	""	""	""	""	""	""	""	""	""	""	""	""	"2400"	"G. F. de Witte"	""	""	"26"	"07"	"1934"	""	""	""	"bambous"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044668"	"RMCA_ENT_000044668"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044668"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	""	"vers Rweru (Volc. Mikano)"	""	""	""	""	""	""	""	""	""	""	""	""	"2400"	"G. F. de Witte"	""	""	"26"	"07"	"1934"	""	""	""	"bambous"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044669"	"RMCA_ENT_000044669"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044669"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	""	"vers Rweru (Volc. Mikano)"	""	""	""	""	""	""	""	""	""	""	""	""	"2400"	"G. F. de Witte"	""	""	"26"	"07"	"1934"	""	""	""	"bambous"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044670"	"RMCA_ENT_000044670"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044670"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	""	"vers Mt. Kamatembe"	""	""	""	""	""	""	""	""	""	""	""	""	"2300"	"G. F. de Witte"	""	""	"07"	"01"	"1935"	"23"	"01"	"1935"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044671"	"RMCA_ENT_000044671"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044671"	"Africa"	"Congo, Democratic Republic of the"	"Kivu"	""	"Rutshuru (Riv. Fuku)"	""	""	""	""	""	""	""	""	""	""	""	""	"1250"	""	""	"Mission G. F. De Witte"	"05"	"07"	"1935"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"clibanarius"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus clibanarius  Benoit, 1957"	""	"Dissomphalus clibanarius  Benoit, 1957"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044672"	"RMCA_ENT_000044672"	""	"Hanot, Stéphane"	""	"BE_RMCA_INS.Hym.044672"	"Africa"	"Congo, Democratic Republic of the"	"Kivu"	""	"Rutshuru (Riv. Kanzarue)"	""	""	""	""	""	""	""	""	""	""	""	""	"1200"	""	""	"Mission G. F. De Witte"	"15"	"07"	"1935"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"clibanarius"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus clibanarius  Benoit, 1957"	""	"Dissomphalus clibanarius  Benoit, 1957"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
