Kingdom	class	order	family	phylum	genus	species	subspecies	author_team_and_year	original_taxon	gbif_full_name	gbif_reference	gbif_match_type	gbif_name_status
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Synete	albipunctella		Kiriakoff, 1959	Synete albipunctella   Kiriakoff	Synete albipunctella Kiriakoff, 1959	Kiriakoff S. G. Notodontidae (Lepidoptera) africain nouveaux II. Scalmicauda et genres voisins. Bulletin et Annales de la Société entomologique de Belgique 1959b	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Synete	anna		Kiriakoff, 1964	Synete anna   Kiriakoff	Synete anna Kiriakoff, 1964	Kiriakoff S. G. Notodontidae africains nouveaux. V. Avec description de quelques néallotypes (Lepidoptera). Revue de Zoologie et Botanique Africaines 1964a	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Synete	dirki		Kiriakoff, 1959	Synete dirki   Kiriakoff	Synete dirki Kiriakoff, 1959	Kiriakoff S. G. Notodontidae (Lepidoptera) africain nouveaux II. Scalmicauda et genres voisins. Bulletin et Annales de la Société entomologique de Belgique 1959b	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Synete	helgae		Kiriakoff, 1959	Synete helgae   Kiriakoff	Synete helgae Kiriakoff, 1959	Kiriakoff S. G. Notodontidae (Lepidoptera) africain nouveaux II. Scalmicauda et genres voisins. Bulletin et Annales de la Société entomologique de Belgique 1959b	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Synete	vaumaculata		Kiriakoff, 1962	Synete vaumaculata   Kiriakoff	Synete vaumaculata Kiriakoff, 1962	Kiriakoff S. G. New and less known African Notodontidae (Lepidoptera). Tijdschrift voor Entomologie 1962c	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Odontoperas	luteimacula		Kiriakoff, 1964	Odontoperas luteimaculata   Kiriakoff	Odontoperas luteimacula Kiriakoff, 1964		MISSPELLING	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	adusta		Kiriakoff, 1963	Scalmicauda adusta   Kiriakoff	Scalmicauda adusta Kiriakoff, 1963	Kiriakoff S. G. Exploration du Parc Albert. Deuxième série. Lepidoptera Heterocera (partim). — 1963a	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	alboterminalis		Kiriakoff, 1962	Scalmicauda alboterminalis   Kiriakoff	Scalmicauda alboterminalis Kiriakoff, 1962	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). IV. Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1962d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	aliena		Kiriakoff, 1962	Scalmicauda aliena   Kiriakoff	Scalmicauda aliena Kiriakoff, 1962	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). IV. Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1962d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	confusa		Kiriakoff, 1959	Scalmicauda confusa   Kiriakoff	Scalmicauda confusa Kiriakoff, 1959	Kiriakoff S. G. Notodontidae (Lepidoptera) africain nouveaux II. Scalmicauda et genres voisins. Bulletin et Annales de la Société entomologique de Belgique 1959b	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	decorata		Kiriakoff, 1962	Scalmicauda decorata   Kiriakoff	Scalmicauda decorata Kiriakoff, 1962	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). IV. Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1962d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	ectomelinos		Kiriakoff, 1962	Scalmicauda ectomelinos   Kiriakoff	Scalmicauda ectomelinos Kiriakoff, 1962	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). IV. Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1962d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	geometrica		Kiriakoff, 1969	Scalmicauda geometrica   Kiriakoff	Scalmicauda geometrica Kiriakoff, 1969	Kiriakoff S. G. Notodontidae africains nouveaux. IX. Lambillionea 1969a	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	ignicolor		Kiriakoff, 1964	Scalmicauda ignicolor   Kiriakoff	Scalmicauda ignicolor Kiriakoff, 1964	Kiriakoff S. G. Notodontidae africains nouveaux. V. Avec description de quelques néallotypes (Lepidoptera). Revue de Zoologie et Botanique Africaines 1964a	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	obliterata		Kiriakoff, 1962	Scalmicauda obliterata   Kiriakoff	Scalmicauda obliterata Kiriakoff, 1962	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). IV. Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1962d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	orthogramma		Kiriakoff, 1960	Scalmicauda orthogramma   Kiriakoff	Scalmicauda orthogramma Kiriakoff, 1960	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). Revue de Zoologie et Botanique Africaines 1960b	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	uniarcuata		Kiriakoff, 1962	Scalmicauda uniarcuata   Kiriakoff	Scalmicauda uniarcuata Kiriakoff, 1962	Kiriakoff S. G. Notodontidae africains nouveaux (Lepidoptera). IV. Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1962d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Notodontidae	Arthropoda	Scalmicauda	venustissima		Kiriakoff, 1969	Scalmicauda venustissima   Kiriakoff	Scalmicauda venustissima Kiriakoff, 1969	Kiriakoff S. G. Notodontidae africains nouveaux. IX. Lambillionea 1969a	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	aurora		Kiriakoff, 1957	Rhipidarctia aurora   Kiriakoff	Rhipidarctia aurora Kiriakoff, 1957	Kiriakoff S. G. Lépidoptères nouveaux du Congo belge. Revue de Zoologie et Botanique Africaines 1957c	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Automolis	cinctella		Kiriakoff, 1953	Rhipidarctia cinctella   Kiriakoff	Automolis cinctella Kiriakoff, 1953		EXACT_OTHER_AUTHOR	synonym
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	cornelia		Kiriakoff, 1957	Rhipidarctia cornelia   Kiriakoff	Rhipidarctia cornelia Kiriakoff, 1957		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	ghesquierei		 (Holland, 1893)	Rhipidarctia ghesquièrei   Kiriakoff	Rhipidarctia lutea (Holland, 1893)	Holland W. J. Descriptions of new species and genera of West African Lepidoptera. Psyche 1893a	EXACT_OTHER_AUTHOR	synonym
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	punctulata		Kiriakoff, 1963	Rhipidarctia punctulata   Kiriakoff	Rhipidarctia punctulata Kiriakoff, 1963		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	rhodosoma		Kiriakoff, 1957	Rhipidarctia rhodosoma   Kiriakoff	Rhipidarctia rhodosoma Kiriakoff, 1957	Kiriakoff S. G. Lépidoptères nouveaux du Congo belge. Revue de Zoologie et Botanique Africaines 1957c	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	rhodospila		Kiriakoff, 1957	Rhipidarctia rhodospila   Kiriakoff	Rhipidarctia rhodospila Kiriakoff, 1957		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	rubrosuffusa		Kiriakoff, 1953	Rhipidarctia rubrosuffusa   Kiriakoff	Rhipidarctia rubrosuffusa Kiriakoff, 1953		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	saturata		Kiriakoff, 1957	Rhipidarctia saturata   Kiriakoff	Rhipidarctia saturata Kiriakoff, 1957	Kiriakoff S. G. Lépidoptères nouveaux du Congo belge. Revue de Zoologie et Botanique Africaines 1957c	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	strenua		Kiriakoff, 1957	Rhipidarctia strenua   Kiriakoff	Rhipidarctia strenua Kiriakoff, 1957		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	subminiata		Kiriakoff, 1959	Rhipidarctia subminiata   Kiriakoff	Rhipidarctia subminiata Kiriakoff, 1959	Kiriakoff S. G. Notes sur les Notodontoidea (Lepidoptera) du Congo Belge. Lambillionea 1959a	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Rhipidarctia	unicolor		Kiriakoff, 1957	Rhipidarctia unicolor   Kiriakoff	Rhipidarctia unicolor Kiriakoff, 1957		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Arctiidae	Arthropoda	Thyretes	cooremani		Kiriakoff, 1953	Thyretes cooremani   Kiriakoff	Thyretes cooremani Kiriakoff, 1953	Kiriakoff S. G. Les Thyretidae du Musée Royal du Congo belge (Lepidoptera Notodontoidea). Annales du Musée du Congo belge, Zoologie [3, Arthropodes] section 2, Catalogues raisonnés 1953a	EXACT_OTHER_AUTHOR	accepted
