"UnitID"	"additionalID"	"collection"	"label_created_by"	"Notes"	"samplingcode"	"continent"	"country"	"Province"	"Municipality"	"exact_site"	"LatitudeDMSDegrees"	"LatitudeDMSMinutes"	"LatitudeDMSSeconds"	"LatitudeDMS_N_S"	"LongitudeDMSDegrees"	"LongitudeDMSMinutes"	"LongitudeDMSSeconds"	"LongitudeDMS_W_E"	"LatitudeDecimal"	"LongitudeDecimal"	"coordinates_original"	"Sampling_PeriodOfDay"	"elevationinmeters"	"CollectedBy"	"samplingMethod"	"expedition_project"	"CollectionStartDay"	"CollectionStartMonth"	"CollectionStartYear"	"CollectionEndDay"	"CollectionEndMonth"	"CollectionEndYear"	"localityNotes"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"IdentificationHistory1Notion"	"IdentificationHistory1Value"	"IdentificationHistory1Status"	"FullScientificName"	"Taxon_Notes"	"IdentifiedBy"	"IdentificationDay"	"IdentificationMonth"	"IdentificationYear"	"TypeStatus"	"Identification_Notes"	"DNA_Tag"	"DNA_box"	"DNA_tube"	"DNA_HPos"	"DNA_VPos"	"DNA_Notes"	"ecology_Water_temperature"	"Sampling_Hour"	"ecology_PH"	"ecology_mV"	"ecology_Conductivity"	"ecology_O2_Perc"	"ecology_O2_mg"	"ecology_hPa"	"ecology_Air_Temperature"	"ecology_Relative_Humidity"	"Ecology"	"acquisition_category"	"acquiredFrom"	"acquisitionDay"	"acquisitionMonth"	"acquisitionYear"	"Acquisition_Notes"	"sex"	"lifeStage"	"associationType"	"associatedUnitID"	"maleCount"	"femaleCount"	"juvenileCount"	"totalNumber"	"notes_Counts"	"institution"	"building"	"floor"	"room"	"row"	"column"	"shelf"	"specimen_status"	"specimen_part"	"ContainerName"	"ContainerType"	"ContainerStorage"	"SubcontainerName"	"SubcontainerType"	"SubcontainerStorage"	"StorageNotes"	"associationDomain"
"045300"	"RMCA_ENT_000045300"	""	""	""	"BE_RMCA_INS.Hym.045300"	"Africa"	"Congo, Democratic Republic of the"	"Kivu"	"Mulo"	"Terr. Lubero"	""	""	""	""	""	""	""	""	""	""	""	""	"1960"	"R.P.M.J. Celis"	""	""	""	"05"	"1954"	""	""	""	"prairie tamisage nids de Myrmicaria sp."	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Parvoculus"	"myrmecophilus"	""	"Moczar, 1970"	"Taxon."	"Parvoculus myrmecophilus  Moczar, 1970"	""	"Parvoculus myrmecophilus  Moczar, 1970"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"female"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045301"	"RMCA_ENT_000045301"	""	""	""	"BE_RMCA_INS.Hym.045301"	"Africa"	"South Africa"	"Eastern Cape"	"Sheldon-Grahamstown"	"Sheldon-Grahamstown"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Zumpt"	""	""	""	"08"	"1950"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"africanus"	""	"Moczar, 1970"	"Taxon."	"Sulcomesitius africanus  Moczar, 1970"	""	"Sulcomesitius africanus  Moczar, 1970"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"female"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045302"	"RMCA_ENT_000045302"	""	""	""	"BE_RMCA_INS.Hym.045302"	"Africa"	"Congo, Democratic Republic of the"	"Haut Uele"	"Moto"	"Moto"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Burgeon L."	""	""	""	"10"	"1923"	""	"11"	"1923"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"alluaudi"	""	"Kieffer"	"Taxon."	"Sulcomesitius alluaudi  Kieffer"	""	"Sulcomesitius alluaudi  Kieffer"	""	""	""	""	""	"Allotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045303"	"RMCA_ENT_000045303"	""	""	""	"BE_RMCA_INS.Hym.045303"	"Africa"	"Congo, Democratic Republic of the"	""	"Rwankwi"	"Rwankwi"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Leroy J. V."	""	""	"31"	"03"	"1946"	""	""	"0"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"illaevigatus"	""	"(Benoit, 1968)"	"Taxon."	"Sulcomesitius illaevigatus  (Benoit, 1968)"	""	"Sulcomesitius illaevigatus  (Benoit, 1968)"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045304"	"RMCA_ENT_000045304"	""	""	""	"BE_RMCA_INS.Hym.045304"	"Africa"	"Madagascar"	""	"Behasa"	"Behasa"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Seyrig A."	""	""	""	"03"	"1939"	""	""	"0"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"madagascarensis"	""	"Moczar"	"Taxon."	"Sulcomesitius madagascarensis  Moczar"	""	"Sulcomesitius madagascarensis  Moczar"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"female"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045305"	"RMCA_ENT_000045305"	""	""	""	"BE_RMCA_INS.Hym.045305"	"Africa"	"Namibia"	""	"Okahandja"	"Okahandja"	""	""	""	""	""	""	""	""	""	""	""	""	""	"R. E. Turner"	""	""	"24"	"02"	"1928"	"01"	"03"	"1928"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"okahandjaensis"	""	"Moczar, 1977"	"Taxon."	"Sulcomesitius okahandjaensis  Moczar, 1977"	""	"Sulcomesitius okahandjaensis  Moczar, 1977"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045306"	"RMCA_ENT_000045306"	""	""	""	"BE_RMCA_INS.Hym.045306"	"Africa"	"South Africa"	""	"port St John"	"Rondoland"	""	""	""	""	""	""	""	""	""	""	""	""	""	"R. E. Turner"	""	""	"05"	"04"	"1923"	"30"	"04"	"1923"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"pondo"	""	"(Benoit, 1968)"	"Taxon."	"Sulcomesitius pondo  (Benoit, 1968)"	""	"Sulcomesitius pondo  (Benoit, 1968)"	""	""	""	""	""	"Paratype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"female"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045307"	"RMCA_ENT_000045307"	""	""	""	"BE_RMCA_INS.Hym.045307"	"Africa"	"South Africa"	""	"Port St John"	"Rondoland"	""	""	""	""	""	""	""	""	""	""	""	""	""	"R. E. Turner"	""	""	""	"10"	"1923"	""	""	"0"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"saintjohni"	""	"Moczar, 1977"	"Taxon."	"Sulcomesitius saintjohni  Moczar, 1977"	""	"Sulcomesitius saintjohni  Moczar, 1977"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045308"	"RMCA_ENT_000045308"	""	""	""	"BE_RMCA_INS.Hym.045308"	"Africa"	"Congo, Democratic Republic of the"	""	"Moanda"	"Moanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Schouteden H."	""	""	"17"	"08"	"1920"	""	""	"0"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Sulcomesitius"	"schoutedeni"	""	"(Benoit, 1950)"	"Taxon."	"Sulcomesitius schoutedeni  (Benoit, 1950)"	""	"Sulcomesitius schoutedeni  (Benoit, 1950)"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"4"	"Box"	""	""	"darwin_uuid"
"045309"	"RMCA_ENT_000045309"	""	""	""	"BE_RMCA_INS.Hym.045309"	"Africa"	"Congo, Democratic Republic of the"	""	"Rutshuru"	"Rutshuru"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Lippens L."	""	""	"04"	"06"	"1936"	""	""	"0"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Epyris"	"alluaudi"	""	"Kieffer, 1905"	"Taxon."	"Epyris alluaudi  Kieffer, 1905"	""	"Epyris alluaudi  Kieffer, 1905"	""	""	""	""	""	"Allotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"6"	"Box"	""	""	"darwin_uuid"
