UnitID	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw50000	Dechamps, Roger				12346	SN3009	Coccoloba diversifolia Jacq.	accepted		North America	Cuba	Guantanamo																		CAPA	spare collection (basement)																							
Tw50001	Dechamps, Roger				12517B	SN1316	Batis maritima L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50002	Dechamps, Roger				12483	SN3199	Conocarpus erectus L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50003	Dechamps, Roger				12518			indet		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50004	Dechamps, Roger				12517C	SN1316	Batis maritima L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50005	Dechamps, Roger				12512	SN11147	Salicornia bigelovii Torr.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50006	Dechamps, Roger				12523	SN1590	Borrichia arborescens DC.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50007	Dechamps, Roger				12517D	SN1316	Batis maritima L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50008	Dechamps, Roger				12522	SN3199	Conocarpus erectus L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50009	Dechamps, Roger				12520	SN3199	Conocarpus erectus L.	accepted		North America	Cuba	Matanzas																		CAPA	Xylarium ground floor	Xylarium ground floor		2240	9	2																		
Tw50010	Dechamps, Roger				12524	SN4763	Erithalis fruticosa L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50011	Dechamps, Roger				12526 A	SN12558	Thespesia populnea (L.) Sol. ex Corrêa	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50012	Dechamps, Roger				12527A	SN1316	Batis maritima L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50013	Dechamps, Roger				12525	SN9684	Pithecellobium histrix (A. Rich.) Benth.	accepted		North America	Cuba	Matanzas																		CAPA	Xylarium ground floor	Xylarium ground floor		6364	24	7																		
Tw50014	Dechamps, Roger				12529 A	SN10973	Rivina humilis L.	accepted		North America	Cuba	Matanzas																		CAPA	Xylarium ground floor	Xylarium ground floor		9375	34	6																		
Tw50015	Dechamps, Roger				12530	SN5152	Eupatorium villosum Sw.	synonym	Koanophyllon villosum	North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50016	Dechamps, Roger				12526 B	SN12558	Thespesia populnea (L.) Sol. ex Corrêa	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
Tw50017	Dechamps, Roger				12527B	SN1316	Batis maritima L.	accepted		North America	Cuba	Matanzas																		CAPA	spare collection (basement)																							
