TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN15538	Salix magnifica	Plantae	Magnoliopsida	Malpighiales	Salix	magnifica	Hemsl.	Salicaceae	Bulletin of Miscellaneous Information Kew 1906(5): 163. 1906.			this name is accepted		
SN11184	Salix matsudana	Plantae	Magnoliopsida	Malpighiales	Salix	matsudana	Koidz.	Salicaceae	Botanical Magazine 129: 312. 1915.	     		this name is accepted		
SN11185	Salix maximowiczii	Plantae	Magnoliopsida	Malpighiales	Salix	maximowiczii	Kom.	Salicaceae	Trudy Imperatorskago S.-Peterburgskago Botani?eskago Sada 18(3): 442. 1901.			this name is accepted		Toisusu cardiophylla var. maximowiczii (Kom.) Kimura
SN15745	Salix mucronata	Plantae	Magnoliopsida	Malpighiales	Salix	mucronata	Thunb. 	Salicaceae	Prod. Pl. Cap. 6. 			this name is accepted		"Salix aegyptiaca L.;Salix safsaf Forssk."
SN11186	Salix nigra	Plantae	Magnoliopsida	Malpighiales	Salix	nigra	Marsh.	Salicaceae	Arbustrum Americanum 293. 1785.			this name is accepted		
SN16639	Salix pendulina	Plantae	Magnoliopsida	Malpighiales	Salix	pendulina	Wender.	Salicaceae	Schrift. Nat. Ges. Marb. ii. (1831) 235.			this name is accepted		
SN15553	Salix pentandra	Plantae	Magnoliopsida	Malpighiales	Salix	pentandra	L.	Salicaceae	Species Plantarum 2: 1016. 1753.			this name is accepted		
SN16083	Salix petsusu	Plantae	Magnoliopsida	Malpighiales	Salix	petsusu	Kimura	Salicaceae	Sc. Rep. Tohoku Imp. Univ. Ser. IV. (Biol.) xii. 317 (1937). 			Salix schwerinii E.L. Wolf	SN18138	Salix viminalis var. yezoensis C. K. Schneider
SN15918	Salix pischpekensis	Plantae	Magnoliopsida	Malpighiales	Salix	pischpekensis	E.L.Wolf 	Salicaceae	Asiatic Willows, ii. 4, 9 (Bull. Imp. For. Inst. St. Petersburg, xiv. 1906). 			ND		
SN16641	Salix prolixa	Plantae	Magnoliopsida	Malpighiales	Salix	prolixa	Andersson	Salicaceae	Monographia Salicum 94-95, pl. 5, f. 52. 1867.			this name is accepted		
