"UnitID"	"additionalID"	"collection"	"label_created_by"	"Notes"	"samplingcode"	"continent"	"country"	"Province"	"Municipality"	"exact_site"	"LatitudeDMSDegrees"	"LatitudeDMSMinutes"	"LatitudeDMSSeconds"	"LatitudeDMS_N_S"	"LongitudeDMSDegrees"	"LongitudeDMSMinutes"	"LongitudeDMSSeconds"	"LongitudeDMS_W_E"	"LatitudeDecimal"	"LongitudeDecimal"	"coordinates_original"	"Sampling_PeriodOfDay"	"elevationinmeters"	"CollectedBy"	"samplingMethod"	"expedition_project"	"CollectionStartDay"	"CollectionStartMonth"	"CollectionStartYear"	"CollectionEndDay"	"CollectionEndMonth"	"CollectionEndYear"	"localityNotes"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"IdentificationHistory1Notion"	"IdentificationHistory1Value"	"IdentificationHistory1Status"	"FullScientificName"	"Taxon_Notes"	"IdentifiedBy"	"IdentificationDay"	"IdentificationMonth"	"IdentificationYear"	"TypeStatus"	"Identification_Notes"	"DNA_Tag"	"DNA_box"	"DNA_tube"	"DNA_HPos"	"DNA_VPos"	"DNA_Notes"	"ecology_Water_temperature"	"Sampling_Hour"	"ecology_PH"	"ecology_mV"	"ecology_Conductivity"	"ecology_O2_Perc"	"ecology_O2_mg"	"ecology_hPa"	"ecology_Air_Temperature"	"ecology_Relative_Humidity"	"Ecology"	"acquisition_category"	"acquiredFrom"	"acquisitionDay"	"acquisitionMonth"	"acquisitionYear"	"Acquisition_Notes"	"sex"	"lifeStage"	"associationType"	"associatedUnitID"	"maleCount"	"femaleCount"	"juvenileCount"	"totalNumber"	"notes_Counts"	"institution"	"building"	"floor"	"room"	"row"	"column"	"shelf"	"specimen_status"	"specimen_part"	"ContainerName"	"ContainerType"	"ContainerStorage"	"SubcontainerName"	"SubcontainerType"	"SubcontainerStorage"	"StorageNotes"	"associationDomain"
"BE_RMCA_INS.Hym.044650"	"RMCA_ENT_000044650"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044650"	"Africa"	"Rwanda"	""	""	"Contrefort Est Muhavura"	""	""	""	""	""	""	""	""	""	""	""	""	"2100"	"Basilewsky P."	""	""	"28"	"01"	"1953"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus nicaeus  Benoit, 1956"	""	"Dissomphalus nicaeus  Benoit, 1956"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044651"	"RMCA_ENT_000044651"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044651"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	""	"vers Rweru (volc. Mikeno)"	""	""	""	""	""	""	""	""	""	""	""	""	"2400"	""	""	"Mission G. F. De Witte"	"12"	"07"	"1934"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"clibanarius"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus clibanarius  Benoit, 1957"	""	"Dissomphalus clibanarius  Benoit, 1957"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044652"	"RMCA_ENT_000044652"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044652"	"Africa"	"Congo, Democratic Republic of the"	""	""	"Terr. Rutshuru"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mission Prophylactique"	"07"	"04"	"1937"	""	""	""	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"prophylax"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus prophylax  Benoit, 1957"	""	"Dissomphalus prophylax  Benoit, 1957"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044653"	"RMCA_ENT_000044653"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044653"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	"Gitebe"	"volc. Nyamuragira"	""	""	""	""	""	""	""	""	""	""	""	""	"2324"	""	""	"Mission G. F. de Witte"	"14"	"06"	"1935"	"26"	"06"	"1935"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"indiceptibilis"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus indiceptibilis  Benoit, 1957"	""	"Dissomphalus indiceptibilis  Benoit, 1957"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044654"	"RMCA_ENT_000044654"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044654"	"Africa"	"Congo, Democratic Republic of the"	"Haut Uele"	"Paulis"	"Paulis"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Benoit P.L.G."	""	""	""	"10"	"1947"	""	"10"	"1947"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"crucialis"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus crucialis  Benoit, 1957"	""	"Dissomphalus crucialis  Benoit, 1957"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044655"	"RMCA_ENT_000044655"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044655"	"Africa"	"Congo, Democratic Republic of the"	"Kivu"	"Sake"	"Sake"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Ghesquière J."	""	""	""	"05"	"1937"	""	"05"	"1937"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"orophilus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus orophilus  Benoit, 1956"	""	"Dissomphalus orophilus  Benoit, 1956"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044656"	"RMCA_ENT_000044656"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044656"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	"Tshamugussa"	"(Bweza)"	""	""	""	""	""	""	""	""	""	""	""	""	"2250"	""	""	"Mission G. F. de Witte"	"10"	"08"	"1934"	"10"	"08"	"1934"	"sur Bambous"	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"globiceps"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus globiceps  Benoit, 1957"	""	"Dissomphalus globiceps  Benoit, 1957"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"male "	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044657"	"RMCA_ENT_000044657"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044657"	"Africa"	"Rwanda"	""	"Rutovu"	"forêt de Rugege, terr. Astrida"	""	""	""	""	""	""	""	""	""	""	""	""	"2350"	"Basilewsky P."	""	""	"20"	"01"	"1953"	"23"	"01"	"1953"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"adscitus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus adscitus  Benoit, 1956"	""	"Dissomphalus adscitus  Benoit, 1956"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044658"	"RMCA_ENT_000044658"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044658"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	"Rwindi"	"Rwindi"	""	""	""	""	""	""	""	""	""	""	""	""	"1000"	""	""	"Mission G. F. de Witte"	"20"	"11"	"1934"	"24"	"11"	"1934"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"rwindianus"	""	"Benoit, 1956"	"Taxon."	"Dissomphalus rwindianus  Benoit, 1956"	""	"Dissomphalus rwindianus  Benoit, 1956"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
"BE_RMCA_INS.Hym.044659"	"RMCA_ENT_000044659"	""	"Hanot, S."	""	"BE_RMCA_INS.Hym.044659"	"Africa"	"Congo, Democratic Republic of the"	"P.N.A."	"Kanyabayongo"	"(Kabasha)"	""	""	""	""	""	""	""	""	""	""	""	""	"1760"	""	""	"Mission G. F. de Witte"	"07"	"11"	"1934"	"07"	"11"	"1934"	""	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"alberti"	""	"Benoit, 1957"	"Taxon."	"Dissomphalus alberti  Benoit, 1957"	""	"Dissomphalus alberti  Benoit, 1957"	""	""	""	""	""	"Holotype"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undetermined"	"adult"	""	""	""	""	""	""	""	"RMCA"	"Africa Palace"	"0"	""	""	""	""	"Dry"	""	"99"	"Cabinet"	""	"12"	"Box"	""	""	"darwin_uuid"
