"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"FullScientificName"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"forskalii"	""	"(Ehrenberg, 1831)"	"Bulinus forskalii  (Ehrenberg, 1831)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"forskalii"	""	"(Ehrenberg, 1831)"	"Bulinus forskalii  (Ehrenberg, 1831)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"forskalii"	""	"(Ehrenberg, 1831)"	"Bulinus forskalii  (Ehrenberg, 1831)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	""	""	""	""	""	""	"Gastropoda"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Bulinus"	"truncatus"	""	"(Audouin, 1827)"	"Bulinus truncatus  (Audouin, 1827)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
"Animalia"	"Mollusca"	"Gastropoda"	"Basommatophora"	"Planorbidae"	"Biomphalaria"	"pfeifferi"	""	"(Krauss, 1848)"	"Biomphalaria pfeifferi  (Krauss, 1848)"
