UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update																					
Tw70000	2016	11	28	Moses LIBALAH					SN13647	Uvariastrum pierreanum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70001	2016	11	28	Moses LIBALAH					SN18497	Desbordesia insignis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70002	2016	11	28	Moses LIBALAH					SN7752	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70003	2016	11	28	Moses LIBALAH					SN857	Keayodendron bridelioides 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70004	2016	11	28	Moses LIBALAH					SN2540	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70005	2016	11	28	Moses LIBALAH					SN18497	Celtis adolfi-friderici 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70006	2016	11	28	Moses LIBALAH					SN3046	Keayodendron bridelioides 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70007	2016	11	28	Moses LIBALAH					SN10942	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70008	2016	11	28	Moses LIBALAH					SN18525	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70009	2016	11	28	Moses LIBALAH					SN11977	Afrostyrax lepidophyllus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70010	2016	11	28	Moses LIBALAH					SN857	Coelocaryon preussii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70011	2016	11	28	Moses LIBALAH					SN10447	Hylodendron gabunense 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70012	2016	11	28	Moses LIBALAH					SN2540	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70013	2016	11	28	Moses LIBALAH					SN2729	Anonidium mannii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70014	2016	11	28	Moses LIBALAH					SN7752	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70015	2016	11	28	Moses LIBALAH					SN857	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70016	2016	11	28	Moses LIBALAH					SN9146	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70017	2016	11	28	Moses LIBALAH					SN12769	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70018	2016	11	28	Moses LIBALAH					SN16596	Keayodendron bridelioides 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70019	2016	11	28	Moses LIBALAH					SN13647	Coelocaryon preussii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70020	2016	11	28	Moses LIBALAH					SN7752	Anonidium mannii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70021	2016	11	28	Moses LIBALAH					SN9302	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70022	2016	11	28	Moses LIBALAH					SN2540	Macaranga spinosa 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70023	2016	11	28	Moses LIBALAH					SN16596	Strombosiopsis tetrandra 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70024	2016	11	28	Moses LIBALAH					SN2540	Hylodendron gabunense 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70025	2016	11	28	Moses LIBALAH					SN3071	Coelocaryon preussii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70026	2016	11	28	Moses LIBALAH					SN12475	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70027	2016	11	28	Moses LIBALAH					SN779	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70028	2016	11	28	Moses LIBALAH					SN9302	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70029	2016	11	28	Moses LIBALAH					SN12475	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70030	2016	11	28	Moses LIBALAH					SN779	Anonidium mannii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70031	2016	11	28	Moses LIBALAH					SN13647	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70032	2016	11	28	Moses LIBALAH					SN13565	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70033	2016	11	28	Moses LIBALAH					SN2520	Coelocaryon preussii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70034	2016	11	28	Moses LIBALAH					SN4661	Ricinodendron heudelotii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70035	2016	11	28	Moses LIBALAH					SN18497	Leplaea thompsonii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70036	2016	11	28	Moses LIBALAH					SN10447	Strombosiopsis tetrandra 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70037	2016	11	28	Moses LIBALAH					SN9302	Anonidium mannii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70038	2016	11	28	Moses LIBALAH					SN13647	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70039	2016	11	28	Moses LIBALAH					SN10391	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70040	2016	11	28	Moses LIBALAH					SN18497	Chrysophyllum lacourtianum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70041	2016	11	28	Moses LIBALAH					SN2540	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70042	2016	11	28	Moses LIBALAH					SN12787	Anonidium mannii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70043	2016	11	28	Moses LIBALAH					SN16596	Pausinystalia macroceras 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70044	2016	11	28	Moses LIBALAH					SN12769	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70045	2016	11	28	Moses LIBALAH					SN12769	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70046	2016	11	28	Moses LIBALAH					SN5555	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70047	2016	11	28	Moses LIBALAH					SN16596	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70048	2016	11	28	Moses LIBALAH					SN13647	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70049	2016	11	28	Moses LIBALAH					SN396	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70050	2016	11	28	Moses LIBALAH					SN6370	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70051	2016	11	28	Moses LIBALAH					SN2520	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70052	2016	11	28	Moses LIBALAH					SN10447	Cola lateritia 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70053	2016	11	28	Moses LIBALAH					SN4661	Terminalia superba 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70054	2016	11	28	Moses LIBALAH					SN2540	Angylocalyx pynaertii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70055	2016	11	28	Moses LIBALAH					SN779	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70056	2016	11	28	Moses LIBALAH					SN2729	Terminalia superba 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70057	2016	11	28	Moses LIBALAH					SN10447	Desbordesia insignis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70058	2016	11	28	Moses LIBALAH					SN2540	Angylocalyx pynaertii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70059	2016	11	28	Moses LIBALAH					SN7752	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70060	2016	11	28	Moses LIBALAH					SN4661	Greenwayodendron suaveolens 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70061	2016	11	28	Moses LIBALAH					SN13647	Celtis adolfi-friderici 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70062	2016	11	28	Moses LIBALAH					SN7752	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70063	2016	11	28	Moses LIBALAH					SN18497	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70064	2016	11	28	Moses LIBALAH					SN12769	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70065	2016	11	28	Moses LIBALAH					SN18497	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70066	2016	11	28	Moses LIBALAH					SN857	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70067	2016	11	28	Moses LIBALAH					SN12475	Pterocarpus soyauxii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70068	2016	11	28	Moses LIBALAH					SN5555	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70069	2016	11	28	Moses LIBALAH					SN7752	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70070	2016	11	28	Moses LIBALAH					SN2540	Trichilia welwitschii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70071	2016	11	28	Moses LIBALAH					SN12834	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70072	2016	11	28	Moses LIBALAH					SN6825	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70073	2016	11	28	Moses LIBALAH					SN2540	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70074	2016	11	28	Moses LIBALAH					SN5555	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70075	2016	11	28	Moses LIBALAH					SN10447	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70076	2016	11	28	Moses LIBALAH					SN9302	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70077	2016	11	28	Moses LIBALAH					SN6370	Afrostyrax lepidophyllus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70078	2016	11	28	Moses LIBALAH					SN12834	Hylodendron gabunense 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70079	2016	11	28	Moses LIBALAH					SN2729	Celtis adolfi-friderici 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70080	2016	11	28	Moses LIBALAH					SN9302	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70081	2016	11	28	Moses LIBALAH					SN4661	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70082	2016	11	28	Moses LIBALAH					SN9302	Uvariastrum pierreanum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70083	2016	11	28	Moses LIBALAH					SN12769	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70084	2016	11	28	Moses LIBALAH					SN11974	Angylocalyx pynaertii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70085	2016	11	28	Moses LIBALAH					SN3071	Chrysophyllum lacourtianum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70086	2016	11	28	Moses LIBALAH					SN2520	Pycnanthus angolensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70087	2016	11	28	Moses LIBALAH					SN13647	Celtis mildbraedii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70088	2016	11	28	Moses LIBALAH					SN12769	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70089	2016	11	28	Moses LIBALAH					SN11974	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70090	2016	11	28	Moses LIBALAH					SN7752	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70091	2016	11	28	Moses LIBALAH					SN12475	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
