"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"sub_species"	"author_team_and_year"	"FullScientificName"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"nicaeus"	""	"Benoit, 1956"	"Dissomphalus nicaeus  Benoit, 1956"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"clibanarius"	""	"Benoit, 1957"	"Dissomphalus clibanarius  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"prophylax"	""	"Benoit, 1957"	"Dissomphalus prophylax  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"indiceptibilis"	""	"Benoit, 1957"	"Dissomphalus indiceptibilis  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"crucialis"	""	"Benoit, 1957"	"Dissomphalus crucialis  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"orophilus"	""	"Benoit, 1956"	"Dissomphalus orophilus  Benoit, 1956"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"globiceps"	""	"Benoit, 1957"	"Dissomphalus globiceps  Benoit, 1957"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"adscitus"	""	"Benoit, 1956"	"Dissomphalus adscitus  Benoit, 1956"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"rwindianus"	""	"Benoit, 1956"	"Dissomphalus rwindianus  Benoit, 1956"
"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	"Bethylidae"	"Dissomphalus"	"alberti"	""	"Benoit, 1957"	"Dissomphalus alberti  Benoit, 1957"
