Kingdom	class	order	family	phylum	genus	species	subspecies	author_team_and_year	original_taxon	gbif_full_name	gbif_reference	gbif_match_type	gbif_name_status
Animalia	Insecta	Lepidoptera	Thyrididae	Arthropoda	Sijua	canitia		Whalley, 1971	Sijua canitia   Whalley	Sijua canitia Whalley, 1971	Whalley P. E. S. The Thyrididae (Lepidoptera) of Africa and its islands. A taxonomic and zoogeographic study. Bulletin of the British Museum of natural History (Entomology) 1971	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Thyrididae	Arthropoda	Sijua	neolatizona		Whalley, 1971	Sijua neolatizona   Whalley	Sijua neolatizona Whalley, 1971	Whalley P. E. S. The Thyrididae (Lepidoptera) of Africa and its islands. A taxonomic and zoogeographic study. Bulletin of the British Museum of natural History (Entomology) 1971	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Thyrididae	Arthropoda	Sinecalca	confusa		Whalley, 1971	Sinecalca confusa   Whalley	Sinecalca confusa Whalley, 1971	Whalley P. E. S. The Thyrididae (Lepidoptera) of Africa and its islands. A taxonomic and zoogeographic study. Bulletin of the British Museum of natural History (Entomology) 1971	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Somabrachyidae	Arthropoda	Psycharium	montanum		Geertsema, 1998	Psycharium montanum   Geertsema	Psycharium montanum Geertsema, 1998	Geertsema H. [Title]. — 1998	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Anomoeotidae	Arthropoda	Staphylinochrous	approximata		Hering, 1937	Staphylinochrous approximata   Hering	Staphylinochrous approximata Hering, 1937	Hering E. M. Synopsis der Anomoeotinae (Lepid. Zygaen.). Revue de Zoologie et Botanique Africaines 1937d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Anomoeotidae	Arthropoda	Staphylinochrous	sordida		Hering, 1937	Staphylinochrous sordida   Hering	Staphylinochrous sordida Hering, 1937	Hering E. M. Synopsis der Anomoeotinae (Lepid. Zygaen.). Revue de Zoologie et Botanique Africaines 1937d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Anomoeotidae	Arthropoda	Staphylinochrous	angustifascia		Hering, 1937	Staphylinochrous angustifascia   Hering	Staphylinochrous angustifascia Hering, 1937	Hering E. M. Synopsis der Anomoeotinae (Lepid. Zygaen.). Revue de Zoologie et Botanique Africaines 1937d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Anomoeotidae	Arthropoda	Staphylinochrous	flavida	erythrocha	Hering, 1929	Staphylinochrous flavida erythrocha  Hering	Staphylinochrous flavida erythrocha Hering, 1929		EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Anomoeotidae	Arthropoda	Staphylinochrous	elongata		Hering, 1937	Staphylinochrous elongata   Hering	Staphylinochrous elongata Hering, 1937	Hering E. M. Synopsis der Anomoeotinae (Lepid. Zygaen.). Revue de Zoologie et Botanique Africaines 1937d	EXACT_OTHER_AUTHOR	accepted
Animalia	Insecta	Lepidoptera	Himantopteridae	Arthropoda	Semioptila	axine		Hering, 1937	Semioptila axine   Hering	Semioptila axine Hering, 1937	Hering E. M. Synopsis der Himantopterinae (Lep. Zygaen.). Revue de Zoologie et Botanique Africaines 1937c	EXACT_OTHER_AUTHOR	accepted
