TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN14336	Cycas cairnsiana	Plantae	Cycadopsida	Cycadales	Cycas	cairnsiana	F. Muell.	Cycadaceae	Fragmenta Phytographiae Australiae 10: 63. 1877. 			this name is accepted		
SN14337	Cycas calcicola	Plantae	Cycadopsida	Cycadales	Cycas	calcicola	Maconochie	Cycadaceae	Journal of the Adelaide Botanic Gardens 1(3): 175. 1978.			this name is accepted		
SN3699	Cycas circinalis	Plantae	Cycadopsida	Cycadales	Cycas	circinalis	L.	Cycadaceae	Species Plantarum 2: 1188. 1753.	    		this name is accepted		
SN14338	Cycas kennedyana	Plantae	Cycadopsida	Cycadales	Cycas	kennedyana	F. Muell.	Cycadaceae	The Chemist and Druggist 4. 1882.			Cycas media R.Br.	SN14339	
SN14339	Cycas media	Plantae	Cycadopsida	Cycadales	Cycas	media	R. Br.	Cycadaceae	Prodromus Florae Novae Hollandiae: 348. 1810. 			this name is accepted		"Cycas gracilis Miq. ;Cycas circinalis subsp. papuana (F.Muell.) J.Schust. ;Cycas megacarpa K.D.Hill ;Cycas gracilis var. glauca Regel ;Cycas gracilis var. viridis Regel ;Cycas kennedyana F.Muell. ;Cycas normanbyana F.Muell. "
SN14340	Cycas normanbyana	Plantae	Cycadopsida	Cycadales	Cycas	normanbyana	F. Muell.	Cycadaceae	Fragmenta Phytographiae Australiae 8: 169. 1872. 			Cycas media R.Br.	SN14339	"Cycas rumphii subsp. normanbyana (F.Muell.) J.Schust. ;Cycas basaltica C.A.Gardner ;Cycas media var. basaltica (C.A.Gardner) J.Schust. "
SN3700	Cycas pectinata	Plantae	Cycadopsida	Cycadales	Cycas	pectinata	Buch.-Ham. 	Cycadaceae	Memoirs of the Wernerian Natural History Society 5: 322-323. 1824.			this name is accepted		
SN3701	Cycas revoluta	Plantae	Cycadopsida	Cycadales	Cycas	revoluta	Thunb.	Cycadaceae	Verhandelingen uitgegeeven door de hollandse maatschappy der weetenschappen, te Haarlem 20(2): 424, 426-427. 1782.			this name is accepted		
SN3702	Cycas spec.	Plantae	Cycadopsida	Cycadales	Cycas			Cycadaceae				NDN		
SN3703	Cyclobalanopsis acuta	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	acuta	(Thunb.) Oerst. 	Fagaceae	Kjoeb. Vidensk.Meddel. (1866) 78			Quercus acuta Thunb.	SN10525	
SN17627	Cyclobalanopsis augustinii	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	augustinii	(Skan) Schottky 	Fagaceae	Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 47(5): 656, in obs.. 1912.	"Quercus augustinii Skan; Journal of the Linnean Society, Botany 26(178): 507. 1899."		this name is accepted		"Quercus augustinii Skan ;Pasania chiwui Hu "
SN3704	Cyclobalanopsis bambusifolia	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	bambusifolia	(Hance) Chun ex Y.C. Hsu & H.W. Jen 	Fagaceae	J. Beijing Forest. Univ.,15(4): 44 (1993), with incorrect basionym ref.	"Quercus bambusifolia Hance; The Botany of the Voyage of H.M.S. Herald 415 pl. 91. 1857. "		Quercus bambusifolia Hance	SN17062	
SN3705	Cyclobalanopsis bella	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	bella	(Chun & Tsiang) Chun ex Y.C. Hsu & H.W. Jen 	Fagaceae	Journal of Beijing Forestry College 15(4): 45. 1993.	"Quercus bella Chun & Tsiang; Journal of the Arnold Arboretum 28(3): 326-327. 1947."		Quercus bella Chun & Tsiang	SN17059	
SN3706	Cyclobalanopsis blakei	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	blakei	(Skan) Schottky	Fagaceae	Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 47(5): 648. 1912.	"Quercus blakei Skan; Hooker's Icones Plantarum 27(3): pl. 2662. 1900. "		Quercus blakei Skan 	SN17060	
SN3707	Cyclobalanopsis championii	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	championii	(Benth.) Oerst.	Fagaceae	Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening i Kjøbenhavn 1866: 79. 1867.	"Quercus championii Benth.; Hooker's Journal of Botany and Kew Garden Miscellany 6: 113. 1854. "		Quercus championii Benth.	SN17061	
SN3708	Cyclobalanopsis chungii	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	chungii	(F.P. Metcalf) Y.C. Hsu & H.Wei Jen	Fagaceae	Flora Fujianica 1: 405, f. 362. 1982.	"Quercus chungii F.P. Metcalf; Lingnan Science Journal 10(4): 481, 491. 1931. "		Quercus chungii F.P. Metcalf	SN17063	
SN3709	Cyclobalanopsis fleuryi	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	fleuryi	(Hickel & A. Camus) Chun ex Q.F. Zheng	Fagaceae	Flora Fujianica 1: 404. 1982.	"Quercus fleuryi Hickel & A. Camus; Bulletin du Muséum National d'Histoire Naturelle 29(8): 600. 1923. "	prev. in Acta Phytotax. Sin. 14(2): 78, 218 in clavi, 1976. 	Cyclobalanopsis macrocalyx (Hickel & A. Camus) M. Deng & Z.K. Zhou 	SN17622	"Cyclobalanopsis austroyunnanensis Hu;Cyclobalanopsis nengpulaensis H. Li & Y.C. Hsu;Quercus tsoi Chun ex Menitsky"
SN3710	Cyclobalanopsis gilva	Plantae	Magnoliopsida	Fagales	Cyclobalanopsis	gilva	(Blume) Oerst.	Fagaceae	Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening i Kjøbenhavn 1866: 1, 78. 1867-68.	"Quercus gilva Blume; Museum Botanicum 1(20): 306. 1850. "		Quercus gilva Blume	SN17065	"Cyclobalanopsis hunanensis (Hand.-Mazz.) W.C. Cheng & T. Hong;Quercus hunanensis Hand.-Mazz."
