TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN17373	Abarema acreana	Plantae	Magnoliopsida	Fabales	Abarema	acreana	(J.F.Macbr.) L.Rico	Fabaceae	Novon 9(4): 555. 1999.	"Pithecellobium acreanum J.F.Macbr.; Publ. Field Columbian Mus., Bot. Ser. xiii. III. 51 (1943). "		this name is accepted		Pithecellobium acreanum J.F.Macbr.
SN17374	Abarema alexandri	Plantae	Magnoliopsida	Fabales	Abarema	alexandri	(Urb.) Barneby & J.W. Grimes	Fabaceae	Memoirs of the New York Botanical Garden 74(1): 101. 1996.	"Pithecellobium jupunba var. alexandri Urb.; Symbolae Antillarum 2(2): 258. 1900."		this name is accepted		
SN1	Abarema angulata	Plantae	Magnoliopsida	Fabales	Abarema	angulata	(Benth.) Kosterm.	Fabaceae	Bulletin. Organisatie voor Indonesië Wetenschappelijk Onderzoek in Indonesië 20(11): 47. 1954.	"Pithecellobium angulatum Benth.; London Journal of Botany 3: 208. 1844."		Archidendron clypearia (Jack) I.C. Nielsen	SN16508	Pithecellobium angulatum Benth.
SN17376	Abarema barbouriana	Plantae	Magnoliopsida	Fabales	Abarema	barbouriana	(Standl.) Barneby & J.W. Grimes	Fabaceae	Memoirs of the New York Botanical Garden 74(1): 70. 1996.	"Pithecellobium barbourianum Standl.; Contributions from the Arnold Arboretum of Harvard University 5: 74-75, pl. 11. 1933."		this name is accepted		Pithecellobium barbourianum Standl.
SN15607	Abarema clypearia	Plantae	Magnoliopsida	Fabales	Abarema	clypearia	(Jack) Kosterm.	Fabaceae	Bulletin. Organisatie voor Indonesië Wetenschappelijk Onderzoek in Indonesië 20: 42. 1954.	"Inga clypearia Jack; Malayan Miscellanies 2(7): 78. 1822. "		Archidendron clypearia (Jack) I.C. Nielsen	SN16508	Inga clypearia Jack 
SN17381	Abarema glauca	Plantae	Magnoliopsida	Fabales	Abarema	glauca	(Urb.) Barneby & J.W. Grimes  	Fabaceae	Memoirs of the New York Botanical Garden 74(1): 98. 1996.	"Pithecellobium glaucum Urb.; Symbolae Antillarum 7(2): 227. 1912."		this name is accepted		Pithecellobium glaucum Urb.
SN13828	Abarema grandiflora	Plantae	Magnoliopsida	Fabales	Abarema	grandiflora	(Benth.) Kosterm.	Fabaceae	Bull. Org. Sci. Res. Indonesia, No. 20, 34 (1954). 	"Pithecellobium grandiflorum Benth.; Flora Australiensis: a description . . . 2: 424. 1864."		Archidendron grandiflorum (Soland.ex Benth.) I.C.Nielsen	SN14066	
SN13829	Abarema hendersonii	Plantae	Magnoliopsida	Fabales	Abarema	hendersonii	(F. Muell.) Kosterm.	Fabaceae	Bull. Org. Sci. Res. Indonesia, No. 20, 34 (1954). 	"Pithecellobium hendersonii F. Muell.; Fragmenta Phytographiae Australiae 5: 191. ."		Archidendron hendersonii ( F.v.Muell. ) I.C.Nielsen 	SN14067	
SN2	Abarema jupunba	Plantae	Magnoliopsida	Fabales	Abarema	jupunba	(Willd.) Britton & Killip	Fabaceae	Annals of the New York Academy of Sciences 35(3): 126. 1936.	Acacia jupunba Willd. Species Plantarum. Editio quarta 4(2): 1067. 1806.	"as ""Jupunba"" "	this name is accepted		"Abarema trapezifolia (Vahl) Pittier;Acacia jupunba Willd.;Jupunba jupunba (Willd.) Britton & Rose;Jupunba trapezifolia (Vahl) Moldenke;Mimosa trapezifolia Vahl;Pithecellobium jupunba (Willd.) Urb.;Pithecellobium trapezifolium (Vahl) Benth.;Inga trapezifolia (Vahl) DC."
SN17388	Abarema leucophylla	Plantae	Magnoliopsida	Fabales	Abarema	leucophylla	(Spruce ex Benth.) Barneby & J.W. Grimes	Fabaceae	Memoirs of the New York Botanical Garden 74(1): 76. 1996.	"Pithecellobium leucophyllum Spruce ex Benth.; Transactions of the Linnean Society of London 30(3): 581. 1875."		this name is accepted		Pithecellobium leucophyllum Spruce ex Benth.
