UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	Original_aquisition_date	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw9999	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10000	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10001	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10002	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10003	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10004	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10005	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10006	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10007	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10008	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10009	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10010	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10011	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10012	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10013	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10014	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10015	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10016	1960	11	22							SN11225	Sambucus nigra L.	accepted						1	1	1		8	coupe	drawer	1									CAPA	spare collection (basement)																							
Tw10017	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10018	1960	11	22									indet																						CAPA	spare collection (basement)																							
Tw10019	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10020	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10021	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10022	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10023	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10024	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10025	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10026	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10027	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10028	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10029	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10030	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10031	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10032	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10033	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10034	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10035	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10036	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10037	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10038	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10039	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10040	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10041	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10042	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10043	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10044	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10045	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10046	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10047	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10048	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10049	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10050	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10051	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10052	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10053	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10054	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10055	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10056	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10057	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10058	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10059	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10060	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10061	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10062	1960	11	24									indet																						CAPA	spare collection (basement)																							
Tw10063	1960	11	24									indet																						CAPA	spare collection (basement)																							
