UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	Original_aquisition_date	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw15000					Servicio Forestal					SN1236	Baillonella africana (Pierre) Baehni	synonym	Tieghemella africana	Africa	Equatorial Guinea			1	1	1		8	coupe	drawer	4									CAPA	spare collection (basement)																							
Tw15001					Lebacq, Lucien			1		SN3846	Dalbergia nigra (Vell.) Allemao ex Benth.	accepted		South America	Peru			1	1	1	1	5	coupe	drawer	21									CAPA	spare collection (basement)																							
Tw15002					Lebacq, Lucien			2		SN2501	Cedrelinga cateniformis (Ducke) Ducke	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15003					Lebacq, Lucien			3		SN8651	Ocotea costulata (Nees) Mez	synonym	Ocotea aciphylla	South America	Peru			1	1	1	1	4	coupe	drawer	11									CAPA	spare collection (basement)																							
Tw15004					Lebacq, Lucien			4		SN3846	Dalbergia nigra (Vell.) Allemao ex Benth.	accepted		South America	Peru			1	1	1	1	5	coupe	drawer	21									CAPA	spare collection (basement)																							
Tw15005					Lebacq, Lucien			5		SN3846	Dalbergia nigra (Vell.) Allemao ex Benth.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15006					Lebacq, Lucien			6		SN8651	Ocotea costulata (Nees) Mez	synonym	Ocotea aciphylla	South America	Peru			1	1	1	1	4	coupe	drawer	11									CAPA	spare collection (basement)																							
Tw15007					Lebacq, Lucien			7		SN613	Alnus jorullensis Kunth	accepted		South America	Peru			1	1	1	1	1	coupe	drawer	28									CAPA	spare collection (basement)																							
Tw15008					Lebacq, Lucien			8		SN8651	Ocotea costulata (Nees) Mez	synonym	Ocotea aciphylla	South America	Peru																			CAPA	spare collection (basement)																							
Tw15009					Lebacq, Lucien			9		SN8651	Ocotea costulata (Nees) Mez	synonym	Ocotea aciphylla	South America	Peru																			CAPA	spare collection (basement)																							
Tw15010					Lebacq, Lucien				10	SN1982	Calycophyllum 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15011					Lebacq, Lucien			11		SN3846	Dalbergia nigra (Vell.) Allemao ex Benth.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15012					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15013					Lebacq, Lucien			13		SN12106	Swietenia macrophylla King	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15014					Lebacq, Lucien			14		SN2497	Cedrela 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15015					Lebacq, Lucien					SN2497	Cedrela 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15016					Lebacq, Lucien			16				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15017					Lebacq, Lucien					SN3288	Cordia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15018					Lebacq, Lucien					SN3288	Cordia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15019					Lebacq, Lucien			19				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15020					Lebacq, Lucien			20		SN2486	Cedrela fissilis Vell.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15021					Lebacq, Lucien			21				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15022					Lebacq, Lucien			22				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15023					Lebacq, Lucien			23		SN2497	Cedrela 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15024					Lebacq, Lucien					SN3288	Cordia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15025					Lebacq, Lucien			25				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15026					Lebacq, Lucien			26		SN4247	Diplotropis 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15027					Lebacq, Lucien			27		SN875	Anthodiscus glaucescens J.F. Macbr.	synonym	Anthodiscus peruanus	South America	Peru			1	1	1	1	2 | 7	coupe | sample	drawer | xylotheek cabinet	8 | 5									CAPA	Xylarium ground floor	Xylarium ground floor		1826	7	5																		
Tw15028					Lebacq, Lucien					SN7666	Malouetia peruviana Woodson	synonym	Malouetia tamaquarina	South America	Peru			1	1	1	1	1 | 3	coupe | sample	drawer | xylotheek cabinet	20 | 6									CAPA	Xylarium ground floor	Xylarium ground floor		793	3	6																		
Tw15029					Lebacq, Lucien			29		SN1884	Calatola venezuelana Pittier	synonym	Calatola costaricensis	South America	Peru			1	1	1	1	4	coupe	drawer	4									CAPA	spare collection (basement)																							
Tw15030					Lebacq, Lucien			30		SN11320	Saxegothaea conspicua Lindl.	accepted		South America	Peru			1	1	1	1	7	coupe	drawer	13									CAPA	spare collection (basement)																							
Tw15031					Lebacq, Lucien			31		SN1884	Calatola venezuelana Pittier	synonym	Calatola costaricensis	South America	Peru			1	1	1	1	4	coupe	drawer	4									CAPA	spare collection (basement)																							
Tw15032					Lebacq, Lucien			32		SN1884	Calatola venezuelana Pittier	synonym	Calatola costaricensis	South America	Peru			1	1	1	1	4	coupe	drawer	4									CAPA	spare collection (basement)																							
Tw15033					Lebacq, Lucien			33		SN11320	Saxegothaea conspicua Lindl.	accepted		South America	Peru			1	1	1	1	7	coupe	drawer	13									CAPA	spare collection (basement)																							
Tw15034					Lebacq, Lucien			34		SN11320	Saxegothaea conspicua Lindl.	accepted		South America	Peru			1	1	1	1	7 | 52	coupe | sample	drawer | xylotheek cabinet	13 | 2									CAPA	Xylarium ground floor	Xylarium ground floor		13480	52	2																		
Tw15035					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15036					Lebacq, Lucien			36		SN6662	Iryanthera 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15037					Lebacq, Lucien			37		SN6559	Inga alba (Sw.) Willd.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15038					Lebacq, Lucien					SN8936	Pachira aquatica Aubl.	accepted		South America	Peru	Loreto		1	1	1	1	2	coupe	drawer	1									CAPA	spare collection (basement)																							
Tw15039					Lebacq, Lucien					SN8936	Pachira aquatica Aubl.	accepted		South America	Peru	Loreto		1	1	1	1	2	coupe	drawer	1									CAPA	spare collection (basement)																							
Tw15040					Lebacq, Lucien			40		SN1937	Calophyllum brasiliense Cambess.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15041					Lebacq, Lucien			25		SN5176	Euplassa cantareirae Sleum. 	accepted		South America	Peru			1	1	1	1	7 | 35	coupe | sample	drawer | xylotheek cabinet	15 | 5									CAPA	Xylarium ground floor	Xylarium ground floor		9565	35	5																		
Tw15042					Lebacq, Lucien			42		SN8695	Ocotea 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15043					Lebacq, Lucien			43		SN601	Allophylus 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15044					Lebacq, Lucien			44		SN6758	Juglans neotropica Diels	accepted		South America	Peru			1	1	1	1	4	coupe	drawer	6									CAPA	spare collection (basement)																							
Tw15045					Lebacq, Lucien			45		SN6764	Juglans 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15046					Lebacq, Lucien			46		SN6758	Juglans neotropica Diels	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15047					Lebacq, Lucien			47		SN6758	Juglans neotropica Diels	accepted		South America	Peru			1	1	1	1	4	coupe	drawer	6									CAPA	spare collection (basement)																							
Tw15048					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15049					Lebacq, Lucien			49		SN6758	Juglans neotropica Diels	accepted		South America	Peru			1	1	1	1	4	coupe	drawer	6									CAPA	spare collection (basement)																							
Tw15050					Lebacq, Lucien			50		SN6758	Juglans neotropica Diels	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15051					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15052					Lebacq, Lucien			52		SN6758	Juglans neotropica Diels	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15053					Lebacq, Lucien			53				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15054					Lebacq, Lucien			54				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15055					Lebacq, Lucien			55				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15056					Lebacq, Lucien					SN8626	Ochroma 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15057					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15058					Lebacq, Lucien					SN1126	Aspidosperma vargasii A. DC.	synonym	Aspidosperma parvifolium	South America	Peru			1	1	1	1	1	coupe	drawer	17									CAPA	spare collection (basement)																							
Tw15059					Lebacq, Lucien			59		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15060					Lebacq, Lucien			60		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15061					Lebacq, Lucien			61		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15062					Lebacq, Lucien			62		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15063					Lebacq, Lucien			63		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15064					Lebacq, Lucien			64		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15065					Lebacq, Lucien			65		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15066					Lebacq, Lucien			66		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15067					Lebacq, Lucien			67		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15068					Lebacq, Lucien			68		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15069					Lebacq, Lucien			69		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15070					Lebacq, Lucien			70		SN9833	Podocarpus andinus Poepp. & Endl.	synonym	Prumnopitys andina	South America	Peru	Iquitos																		CAPA	spare collection (basement)																							
Tw15071					Lebacq, Lucien			71		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15072					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15073					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15074					Lebacq, Lucien			74				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15075					Lebacq, Lucien					SN2158	Carapa guianensis Aubl.	accepted		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15076					Lebacq, Lucien			76		SN693	Amburana cearensis (Allemao) A.C. Sm.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15077					Lebacq, Lucien			77		SN2493	Cedrela odorata L.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15078					Lebacq, Lucien			78		SN12106	Swietenia macrophylla King	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15079					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15080					Lebacq, Lucien					SN5651	Genipa americana L.	accepted		South America	Peru			1	1	1	1	7	coupe	drawer	23									CAPA	spare collection (basement)																							
Tw15081					Lebacq, Lucien					SN1555	Bombacopsis quinata (Jacq.) Dugand	synonym	Pachira quinata	South America	Peru			1	1	1	1	1	coupe	drawer	32									CAPA	spare collection (basement)																							
Tw15082					Lebacq, Lucien			82		SN12716	Trema micrantha (L.) Blume	accepted		South America	Peru			1	1	1	1	8	coupe	drawer	22									CAPA	spare collection (basement)																							
Tw15083					Lebacq, Lucien			83		SN1709	Brosimum 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15084					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15085					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15086					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15087					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15088					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15089					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15090					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15091					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15092					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15093					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15094					Lebacq, Lucien			94		SN12108	Swietenia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15095					Lebacq, Lucien			95		SN12106	Swietenia macrophylla King	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15096					Lebacq, Lucien			96		SN12106	Swietenia macrophylla King	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15097					Lebacq, Lucien			97		SN2493	Cedrela odorata L.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15098					Lebacq, Lucien			98		SN2497	Cedrela 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15099					Lebacq, Lucien			99		SN2497	Cedrela 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15100					Lebacq, Lucien			100		SN9976	Poraqueiba sericea Tul.	accepted		South America	Peru			1	1	1	1	4 | 19	coupe | sample	drawer | xylotheek cabinet	4 | 4									CAPA	Xylarium ground floor	Xylarium ground floor		4654	19	4																		
Tw15101					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15102					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15103					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15104					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15105					Lebacq, Lucien				105			indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15106					Lebacq, Lucien			106		SN141	Acacia paniculata Willd.	synonym	Acacia tenuifolia	South America	Peru			1	1	1	1	5 | 24	coupe | sample	drawer | xylotheek cabinet	7 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		6078	24	1																		
Tw15107					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15108					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15109					Lebacq, Lucien			109		SN1709	Brosimum 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15110					Lebacq, Lucien			110		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15111					Lebacq, Lucien					SN10118	Protium carana (Humb.) March	accepted		South America	Peru			1	1	1	1	2 | 6	coupe | sample	drawer | xylotheek cabinet	6 | 7									CAPA	Xylarium ground floor	Xylarium ground floor		1612	6	7																		
Tw15112					Lebacq, Lucien			112		SN10805	Rheedia acuminata (Ruiz & Pav.) Planch. & Triana	synonym	Garcinia portoricensis	South America	Peru			1	1	1	1	3	coupe	drawer	30									CAPA	spare collection (basement)																							
Tw15113					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15114					Lebacq, Lucien					SN5905	Guazuma crinita Mart.	accepted		South America	Peru			1	1	1	1	8	coupe	drawer	14									CAPA	spare collection (basement)																							
Tw15115					Lebacq, Lucien			115		SN12881	Turpinia heterophylla (Ruiz & Pav.) Tul.	synonym	Turpinia occidentalis	South America	Peru	Loreto		1	1	1	1	8 | 45	coupe | sample	drawer | xylotheek cabinet	13 | 2									CAPA	Xylarium ground floor	Xylarium ground floor		11668	45	2																		
Tw15116					Lebacq, Lucien			116		SN2466	Cecropia latiloba Miq.	accepted		South America	Peru			1	1	1	1	6 | 30	coupe | sample	drawer | xylotheek cabinet	20 | 7									CAPA	Xylarium ground floor	Xylarium ground floor		8115	30	7																		
Tw15117					Lebacq, Lucien					SN3808	Dacryodes 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15118					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15119					Lebacq, Lucien			119				indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15120					Lebacq, Lucien			120		SN13703	Cecropia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15121					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15122					Lebacq, Lucien			122		SN6662	Iryanthera 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15123					Lebacq, Lucien			123		SN11269	Sapium glandulosum (L.) Morong	accepted		South America	Peru			1	1	1	1	3 | 16	coupe | sample	drawer | xylotheek cabinet	17 | 2									CAPA	Xylarium ground floor	Xylarium ground floor		3780	16	2																		
Tw15124					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15125					Lebacq, Lucien					SN3288	Cordia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15126					Lebacq, Lucien					SN13306	Weinmannia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15127					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15128					Lebacq, Lucien			128		SN12860	Trophis racemosa (L.) Urb.	accepted		South America	Peru			1	1	1	1	6 | 31	coupe | sample	drawer | xylotheek cabinet	26 | 6									CAPA	Xylarium ground floor	Xylarium ground floor		8404	31	6																		
Tw15129					Lebacq, Lucien			129		SN5361	Ficus glabrata Kunth	synonym	Ficus insipida	South America	Peru			1	1	1	1	6	coupe	drawer	22									CAPA	spare collection (basement)																							
Tw15130					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15131					Lebacq, Lucien			131		SN4650	Entada polyphylla Benth.	accepted		South America	Peru			1	1	1		5 | 24	coupe | sample	drawer | xylotheek cabinet	12 | 4									CAPA	Xylarium ground floor	Xylarium ground floor		6204	24	4																		
Tw15132					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15133					Lebacq, Lucien			133		SN7440	Lunania cuspidata Warb.	synonym	Lunania parviflora	South America	Peru			1	1	1	1	3 | 17	coupe | sample	drawer | xylotheek cabinet	23 | 5									CAPA	Xylarium ground floor	Xylarium ground floor		4200	17	5																		
Tw15134					Lebacq, Lucien					SN6246	Hirtella triandra Sw.	accepted		South America	Peru			1	1	1		2	coupe	drawer	11									CAPA	spare collection (basement)																							
Tw15135					Lebacq, Lucien			135		SN5375	Ficus killipii Standl.	synonym	Ficus coerulescens	South America	Peru			1	1	1	1	6	coupe	drawer	23									CAPA	spare collection (basement)																							
Tw15136					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15137					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15138					Lebacq, Lucien			138		SN5367	Ficus grandiceps Rillip.	uncertain	Ficus grandiceps	South America	Peru			1	1	1	1	6	coupe	drawer	22									CAPA	spare collection (basement)																							
Tw15139					Lebacq, Lucien					SN12472	Terminalia 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15140					Lebacq, Lucien					SN2511	Ceiba aesculifolia (Kunth) Britten & Baker f.	accepted		South America	Peru			1	1	1	1	2 | 6	coupe | sample	drawer | xylotheek cabinet	1 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		1375	6	1																		
Tw15141					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15142					Lebacq, Lucien				142	SN7483	Mabea subsessilis Pax & K. Hoffm.	accepted		South America	Peru			1	1	1	1	3	coupe	drawer	12									CAPA	spare collection (basement)																							
Tw15143					Lebacq, Lucien					SN1570	Bombax 	indet - genus		South America	Peru																			CAPA	spare collection (basement)																							
Tw15144					Lebacq, Lucien			144		SN8677	Ocotea minutiflora O. Schmidt	accepted		South America	Peru			2	2	2	1	4 | 21	coupe | sample	drawer | xylotheek cabinet	11 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		5176	21	1																		
Tw15145					Lebacq, Lucien			145		SN1393	Beilschmiedia 	indet - genus		South America	Peru	Loreto																		CAPA	spare collection (basement)																							
Tw15146					Lebacq, Lucien			146		SN2466	Cecropia latiloba Miq.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15147					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15148					Lebacq, Lucien			148		SN12416	Terminalia amazonia (J.F. Gmel.) Exell	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15149					Lebacq, Lucien			149		SN2486	Cedrela fissilis Vell.	accepted		South America	Peru																			CAPA	spare collection (basement)																							
Tw15150					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15151					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15152					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15153					Lebacq, Lucien							indet		South America	Peru																			CAPA	spare collection (basement)																							
Tw15154					Lebacq, Lucien			154		SN11277	Sapium marmieri Huber	accepted		South America	Peru			1	1	1	1	3	coupe	drawer	17									CAPA	spare collection (basement)																							
Tw15155					Lebacq, Lucien			155				indet		South America	Peru																			CAPA	spare collection (basement)																							
