UnitID	datasetName	KindOfUnit	TypeStatus	FullScientificName	storage:Institution	storage:Building	storage:ContainerStorage	storage:Column	storage:ContainerName	storage:ContainerType	storage:SubContainerStorage	Property1	PropertyValue1	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Property5	PropertyValue5	Property6	PropertyValue6	Property7	PropertyValue7	Property8	PropertyValue8	Notes
RMCA ENT 000012040	DIPTERAE	specimen	Holotype	Actia antiqua	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia antiqua 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012040 DV	ht_head_front_view	RMCA ENT 000012040 HV	ht_lateral_view	RMCA ENT 000012040 LV	ht_labels	RMCA ENT 000012040 LB	
RMCA ENT 000012041	DIPTERAE	specimen	Holotype	Actia ciligera	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia ciligera 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012041 DV	ht_head_front_view	RMCA ENT 000012041 HV	ht_lateral_view	RMCA ENT 000012041 LV	ht_labels	RMCA ENT 000012041 LB	
RMCA ENT 000012042	DIPTERAE	specimen	Holotype	Actia fallax	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia fallax 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012042 DV	ht_head_front_view	RMCA ENT 000012042 HV	ht_lateral_view	RMCA ENT 000012042 LV	ht_labels	RMCA ENT 000012042 LB	
RMCA ENT 000012043	DIPTERAE	specimen	Holotype	Actia gratiosa	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia gratiosa 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012043 DV	ht_head_front_view	RMCA ENT 000012043 HV	ht_lateral_view	RMCA ENT 000012043 LV	ht_labels	RMCA ENT 000012043 LB	
RMCA ENT 000012044	DIPTERAE	specimen	Holotype	Actia longilingua	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia longilingua 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012044 DV	ht_head_front_view	RMCA ENT 000012044 HV	ht_lateral_view	RMCA ENT 000012044 LV	ht_labels	RMCA ENT 000012044 LB	
RMCA_ENT_161_BOX_24	DIPTERAE	specimen	Paratype	Actia longilingua	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia longilingua 	author_in_source_species	Mesnil									
RMCA_ENT_161_BOX_24	DIPTERAE	specimen		Actia munroi	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"Curran, 1927"	name_in_source	Actia munroi 	author_in_source_species	Curran									
RMCA_ENT_161_BOX_24	DIPTERAE	specimen		Actia nitidella	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry	slide	taxonomy_source	gbif	author_gbif	"Villeneuve, 1936"	name_in_source	Actia nitidella 	author_in_source_species	Vill.									
RMCA ENT 000012045	DIPTERAE	specimen	Holotype	Actia picipalpis	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia picipalpis 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012045 DV	ht_head_front_view	RMCA ENT 000012045 HV	ht_lateral_view	RMCA ENT 000012045 LV	ht_labels	RMCA ENT 000012045 LB	
RMCA ENT 000012046	DIPTERAE	specimen	Holotype	Actia rubiginosa	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia rubiginosa 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012046 DV	ht_head_front_view	RMCA ENT 000012046 HV	ht_lateral_view	RMCA ENT 000012046 LV	ht_labels	RMCA ENT 000012046 LB	
RMCA_ENT_161_BOX_24	DIPTERAE	specimen	Paratype	Actia rubiginosa	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia rubiginosa 	author_in_source_species	Mesnil									
RMCA_ENT_161_BOX_24	DIPTERAE	specimen		Actia rubiginosa	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia rubiginosa 	author_in_source_species	Mesnil									
RMCA ENT 000012047	DIPTERAE	specimen	Holotype	Actia triseta	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia triseta 	author_in_source_species	Mesnil	ht_dorsal_view	RMCA ENT 000012047 DV	ht_head_front_view	RMCA ENT 000012047 HV	ht_lateral_view	RMCA ENT 000012047 LV	ht_labels	RMCA ENT 000012047 LB	
RMCA_ENT_161_BOX_24	DIPTERAE	specimen	Paratype	Actia vulpina	Royal Museum for Central Africa	Colonial Palace	box	161	24	dry		taxonomy_source	gbif	author_gbif	"(Mesnil, 1954)"	name_in_source	Actia vulpina 	author_in_source_species	Mesnil									
